Date,boc1,smc1,so-premp-c1,sm-premp-c1,sc1,rin-d4-us,lcoc1,clc1,hoc1,cc1,brl=,fcpoc1,fupoc1,rsc1,myr=,cpo-id-m1,cpo-mysth-m1,palm-myrbd-p1,sb-oilib-c1,bo-brzpar-b1,bo-brzpar-a1,palm-mycrd-p1,soy-arg-ref,jci-hogm-fujn,jci-hogm-shai,palm-sea-ocrdm,soil-sea-dgcf,sunf-sea-crm,go10sgswmc1,rbd-pko-m1
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,
2012-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,
2012-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,
2012-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,
2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,
2012-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,
2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,
2012-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,,
2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,,
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,,
2012-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165,,
2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,,
2012-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,,
2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,965,,1175,,
2012-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,995,,1200,,
2012-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,985,,1190,,
2012-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,980,,1190,,
2012-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,980,,1190,,
2012-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,985,,1180,,
2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,1005,,1200,,
2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,1017,,1205,,
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,1015,,1220,,
2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,1240,,
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,1240,,
2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1270.0,1230,,
2012-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,985,1260.0,1225,,
2012-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1260.0,1215,,
2012-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1280.0,1235,,
2012-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.0,1245,,
2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1260.0,1230,,
2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,975,1235.0,1235,,
2012-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,975,1230.0,1225,,
2012-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,972,1220.0,1215,,
2012-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,980,1225.0,1220,,
2012-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1245.0,1230,,
2012-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,995,1240.0,1230,,
2012-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,995,1255.0,1245,,
2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,990,1228.0,1240,,
2012-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,985,1235.0,1250,,
2012-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,980,1235.0,1245,,
2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,970,1220.0,1255,,
2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,970,1235.0,1250,,
2012-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,955,1257.0,1260,,
2012-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,945,1255.0,1260,,
2012-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,955,1250.0,1260,,
2012-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,965,1255.0,1260,,
2012-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,980,1274.0,1270,,
2012-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,995,1302.0,1280,,
2012-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1315.0,1290,,
2012-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,1005,1330.0,1300,,
2012-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1340.0,1310,,
2012-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,985,1312.0,1300,,
2012-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,975,1308.0,1290,,
